"Date","Open","High","Low","Last","Volume","Turnover"
"2018-08-03",4.62,4.656,4.6,4.638,330769.0,1532712.107
"2018-08-02",4.652,4.663,4.585,4.605,335478.0,1547690.649
"2018-08-01",4.644,4.697,4.643,4.659,361052.0,1685376.25
"2018-07-31",4.726,4.726,4.64,4.665,702945.0,3278435.632
"2018-07-30",4.67,4.817,4.624,4.729,934863.0,4417946.887
"2018-07-27",4.76,4.778,4.679,4.686,676110.0,3191480.635
"2018-07-26",4.8,4.844,4.58,4.81,1367489.0,6476150.529
"2018-07-25",5.026,5.09,5.026,5.066,477397.0,2420791.824
"2018-07-24",5.086,5.1,5.04,5.04,410981.0,2080463.144
"2018-07-23",5.108,5.128,5.05,5.068,76167.0,386419.05
"2018-07-20",5.104,5.18,5.076,5.126,337088.0,1727620.28
"2018-07-19",5.15,5.22,5.106,5.112,261262.0,1341822.508
"2018-07-18",5.022,5.256,5.022,5.166,973277.0,5033915.758
"2018-07-17",4.98,4.98,4.925,4.965,240761.0,1192191.801
"2018-07-16",4.96,5.008,4.947,5.008,216843.0,1082908.112
"2018-07-13",5.026,5.07,4.986,4.989,313085.0,1567819.82
"2018-07-12",4.98,5.036,4.927,5.018,384275.0,1914820.33
"2018-07-11",5.05,5.05,4.969,4.983,385196.0,1923410.777
"2018-07-10",4.97,5.072,4.942,5.058,541284.0,2720146.973
"2018-07-09",4.904,4.962,4.904,4.954,325155.0,1609323.813
"2018-07-06",4.87,4.911,4.86,4.904,272968.0,1335640.171
"2018-07-05",4.803,4.861,4.792,4.842,257297.0,1244383.024
"2018-07-04",4.85,4.864,4.794,4.816,357615.0,1723077.882
"2018-07-03",4.841,4.903,4.835,4.867,186451.0,906272.646
"2018-07-02",4.901,4.902,4.812,4.836,304768.0,1474646.146
"2018-06-29",4.928,4.963,4.885,4.938,606763.0,2995391.783
"2018-06-28",4.95,4.95,4.846,4.878,450934.0,2202237.715
"2018-06-27",4.93,5.034,4.893,4.999,542294.0,2696203.914
"2018-06-26",4.98,5.002,4.939,4.98,250714.0,1245188.749
"2018-06-25",5.09,5.09,4.937,4.946,287356.0,1431945.009
"2018-06-22",5.028,5.114,5.028,5.084,789374.0,4003769.548
"2018-06-21",5.126,5.15,5.034,5.07,468619.0,2382897.276
"2018-06-20",5.064,5.134,5.064,5.13,446574.0,2282957.502
"2018-06-19",5.116,5.162,5.08,5.126,549635.0,2809339.926
"2018-06-18",5.226,5.226,5.118,5.174,867758.0,4480730.596
"2018-06-15",5.242,5.308,5.218,5.226,655318.0,3441243.282
"2018-06-14",5.108,5.244,5.108,5.228,976332.0,5069085.134
"2018-06-13",5.024,5.168,5.024,5.136,753338.0,3844977.086
"2018-06-12",4.988,5.026,4.976,5.006,521094.0,2603439.09
"2018-06-11",4.947,4.982,4.924,4.971,469267.0,2326127.355
"2018-06-08",4.949,4.98,4.92,4.943,222192.0,1098757.324
"2018-06-07",4.98,5.006,4.927,4.961,466566.0,2313245.464
"2018-06-06",5.014,5.016,4.939,4.982,902272.0,4487333.915
"2018-06-05",5.074,5.086,5.034,5.052,327706.0,1657557.186
"2018-06-04",5.018,5.086,5.018,5.068,534583.0,2701413.644
"2018-06-01",4.957,5.006,4.939,4.974,318394.0,1584665.645
